Debug | 2023/07/10 00:37:04.627270 | DataPoint | {"DatePerformed":"2021-10-26T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":21}
Debug | 2023/07/10 00:37:04.628359 | DataPoint | {"DatePerformed":"2021-10-26T00:00:00Z","Sets":4,"Reps":1,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":1,"InterWorkoutFatigue":22}
Debug | 2023/07/10 00:37:04.629604 | DataPoint | {"DatePerformed":"2021-10-22T00:00:00Z","Sets":1,"Reps":3,"Effort":8,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.630670 | DataPoint | {"DatePerformed":"2021-10-22T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.95,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.631875 | DataPoint | {"DatePerformed":"2021-10-08T00:00:00Z","Sets":6,"Reps":3,"Effort":6.5,"Intensity":0.81,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.633138 | DataPoint | {"DatePerformed":"2021-10-08T00:00:00Z","Sets":1,"Reps":3,"Effort":6.5,"Intensity":0.87,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.634276 | DataPoint | {"DatePerformed":"2021-10-01T00:00:00Z","Sets":1,"Reps":1,"Effort":8.5,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.635493 | DataPoint | {"DatePerformed":"2021-10-01T00:00:00Z","Sets":6,"Reps":3,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.636683 | DataPoint | {"DatePerformed":"2021-09-24T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.637757 | DataPoint | {"DatePerformed":"2021-09-24T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.81,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.638897 | DataPoint | {"DatePerformed":"2021-09-17T00:00:00Z","Sets":1,"Reps":3,"Effort":8.5,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.639984 | DataPoint | {"DatePerformed":"2021-09-17T00:00:00Z","Sets":5,"Reps":4,"Effort":8.5,"Intensity":0.81,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.641252 | DataPoint | {"DatePerformed":"2021-09-10T00:00:00Z","Sets":5,"Reps":4,"Effort":7.5,"Intensity":0.77,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.642439 | DataPoint | {"DatePerformed":"2021-09-10T00:00:00Z","Sets":1,"Reps":3,"Effort":7.5,"Intensity":0.85,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.643683 | DataPoint | {"DatePerformed":"2021-08-27T00:00:00Z","Sets":5,"Reps":4,"Effort":7,"Intensity":0.77,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.644871 | DataPoint | {"DatePerformed":"2021-08-27T00:00:00Z","Sets":1,"Reps":3,"Effort":7,"Intensity":0.85,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.646060 | DataPoint | {"DatePerformed":"2021-08-20T00:00:00Z","Sets":5,"Reps":4,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.647175 | DataPoint | {"DatePerformed":"2021-08-20T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.81,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.648609 | DataPoint | {"DatePerformed":"2021-08-13T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.73,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.649774 | DataPoint | {"DatePerformed":"2021-08-13T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.81,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.650964 | DataPoint | {"DatePerformed":"2021-08-10T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0,"InterExerciseFatigue":0,"InterWorkoutFatigue":2}
