Debug | 2023/07/10 00:37:09.543324 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":45,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-22T00:00:00Z","Eps":0.6235262954886167,"Eps1":0.03491119602519355,"Eps2":0,"Eps3":0.004785180555823387,"Eps4":0.021684321760124803,"Eps5":0.0003624239653710025,"Eps6":0.0030072113990518706,"Eps7":0.000011410740265338504,"TimeFrame":27,"Win":14,"Rcond":3.162942753843518e-7,"Mse":0.00015484638951150236}
Debug | 2023/07/10 00:37:09.545810 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-22T00:00:00Z","Eps":0.6584294214044846,"Eps1":0.030342234896002518,"Eps2":0,"Eps3":0.0018818518910274293,"Eps4":0.02131955950233677,"Eps5":0,"Eps6":0,"Eps7":0.00363188839817552,"TimeFrame":23,"Win":11,"Rcond":3.804666067357028e-7,"Mse":0.001743684454903307}
Debug | 2023/07/10 00:37:09.554310 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-26T00:00:00Z","Eps":0.9232301530311151,"Eps1":0.0013270441732917693,"Eps2":0,"Eps3":0.00014353690887058436,"Eps4":-0.0379460164465355,"Eps5":0.00011827929131140447,"Eps6":0.006885425000738521,"Eps7":0.0035342237809896093,"TimeFrame":43,"Win":13,"Rcond":0.00000301595351373145,"Mse":0.001073821591492316}
Debug | 2023/07/10 00:37:09.555118 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":45,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-26T00:00:00Z","Eps":0.6768461302217847,"Eps1":0.02877707404763674,"Eps2":0,"Eps3":0.0056395069036946355,"Eps4":0.026719757595747406,"Eps5":0.0007602304843044687,"Eps6":0.002864913451988662,"Eps7":0,"TimeFrame":25,"Win":3,"Rcond":0.0000034548617358435702,"Mse":0.000003146588702893445}
Debug | 2023/07/10 00:37:09.556353 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-23T00:00:00Z","Eps":0.6584294214044846,"Eps1":0.030342234896002518,"Eps2":0,"Eps3":0.0018818518910274293,"Eps4":0.02131955950233677,"Eps5":0,"Eps6":0,"Eps7":0.00363188839817552,"TimeFrame":24,"Win":12,"Rcond":3.804666067357028e-7,"Mse":0.001743684454903307}
Debug | 2023/07/10 00:37:09.557202 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-27T00:00:00Z","Eps":0.8199134184285954,"Eps1":0.015722943891427477,"Eps2":0,"Eps3":0.002701298668572105,"Eps4":0.052167387911430274,"Eps5":0,"Eps6":0.03113785443995798,"Eps7":0.006649350645714758,"TimeFrame":16,"Win":5,"Rcond":0.000006825363341392156,"Mse":0.000005895902905987089}
Debug | 2023/07/10 00:37:09.558548 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":45,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-27T00:00:00Z","Eps":0.6768461302217847,"Eps1":0.02877707404763674,"Eps2":0,"Eps3":0.0056395069036946355,"Eps4":0.026719757595747406,"Eps5":0.0007602304843044687,"Eps6":0.002864913451988662,"Eps7":0,"TimeFrame":26,"Win":4,"Rcond":0.0000034548617358435702,"Mse":0.000003146588702893445}
Debug | 2023/07/10 00:37:09.561382 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-29T00:00:00Z","Eps":0.648902078273565,"Eps1":0.03179647298965094,"Eps2":0,"Eps3":0.0016557204994053242,"Eps4":0.01389973487251045,"Eps5":0.00007818807444520681,"Eps6":0,"Eps7":0.0030006189902923586,"TimeFrame":32,"Win":2,"Rcond":0.0000011133547745767478,"Mse":0.0000708188731488321}
Debug | 2023/07/10 00:37:09.564107 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-08T00:00:00Z","Eps":0.5796345759954165,"Eps1":0.018035033099964598,"Eps2":0,"Eps3":-0.0009961458221182996,"Eps4":-0.0008843120963351048,"Eps5":0,"Eps6":0.009729602021915529,"Eps7":0.0034048095313937154,"TimeFrame":49,"Win":4,"Rcond":0.0000011196651537326655,"Mse":0.00014610647985172678}
Debug | 2023/07/10 00:37:09.569893 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":45,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-11-03T00:00:00Z","Eps":0.7791309342716719,"Eps1":0.011199867021370102,"Eps2":0,"Eps3":0.004118267202927364,"Eps4":0.005989060931506307,"Eps5":0.0008696030020045428,"Eps6":0.0015263728503668167,"Eps7":0.0016920197285794358,"TimeFrame":26,"Win":2,"Rcond":0.000001809416503117301,"Mse":0.00012465026129114876}
